Set	Nr	Normalized?	NSE	KGE	RMSE	mean_Yo	mean_Yp	sd_Yo	sd_Yp	r	N	Bias	KGE*	SetGroup	BasinId	elev_mean	slope_mean	area_gages2	runoff_ratio	baseflow_index	stream_elas
2	55	0	0.705072	0.781	1.399021	1.615012	1.54283	2.576223	2.209106	0.840328	12496	-4.5	0.784	2	1543000	543.37	36.53752	705.5	0.486116606	0.448967038	1.937803671
2	56	0	0.710268	0.788	1.261348	1.60745	1.51402	2.343443	2.034557	0.844062	12499	-5.8	0.792	2	1543500	547.44	31.28232	1778.26	0.478316789	0.482957364	2.05031437
2	57	0	0.669353	0.787	1.437475	1.615004	1.442918	2.499973	2.335669	0.827894	12478	-10.7	0.803	2	1544500	551.6	36.26274	355.06	0.485865267	0.485230738	1.039988747
2	58	0	0.64776	0.781	1.308312	1.491165	1.45645	2.204497	1.973245	0.809525	12461	-2.3	0.782	2	1545600	518.97	53.68312	120	0.448479057	0.514876336	1.069583278
2	59	0	0.627796	0.715	1.532628	1.297926	1.253731	2.512254	2.029471	0.792676	12449	-3.4	0.717	2	1547700	353.57	43.0263	113.54	0.42997117	0.442897107	2.384803975
2	60	0	0.646422	0.816	1.238555	1.387045	1.421694	2.083003	2.036051	0.819535	12496	2.5	0.817	2	1548500	546.71	39.14167	1557.05	0.455212892	0.494162983	1.107207974
2	61	0	0.574606	0.769	1.747042	1.490842	1.383708	2.678706	2.606711	0.782621	12468	-7.2	0.777	2	1549500	528.16	32.39343	97.49	0.453494787	0.471683755	1.008290102
2	62	0	0.627177	0.769	1.717835	1.645231	1.579409	2.813504	2.517073	0.798145	12481	-4	0.771	2	1550000	455.41	46.28526	452.68	0.496449758	0.495114303	1.5637571
2	63	0	0.705951	0.774	1.598851	1.711171	1.570537	2.948597	2.536854	0.841767	12504	-8.2	0.784	2	1552000	461.43	37.27533	1129.49	0.494463815	0.510549498	1.214325391
2	64	0	0.564951	0.654	2.236259	1.952712	1.759216	3.390552	2.634105	0.754139	12467	-9.9	0.663	2	1552500	535.24	46.46363	60.64	0.547203753	0.484827873	1.182488991
2	65	0	0.61142	0.711	1.423506	1.57391	1.470286	2.283686	1.87316	0.784083	12453	-6.6	0.715	2	1557500	389.99	38.17147	115.3	0.507252635	0.53043975	1.62476427
2	66	0	0.479031	0.614	1.852824	1.316426	1.27626	2.567117	1.961909	0.695684	12423	-3.1	0.615	2	1567500	314.48	46.47316	38.77	0.40357252	0.553409319	1.645361874
2	67	0	0.676584	0.74	1.418414	1.410719	1.347402	2.494248	2.032491	0.822979	12480	-4.5	0.743	2	1568000	265.52	34.52646	534.39	0.42746983	0.517278236	1.786342573
2	68	0	0.698353	0.797	0.826728	1.301371	1.356715	1.505324	1.332145	0.837811	12451	4.3	0.798	2	1580000	174.3	12.44242	244.37	0.380362222	0.715800754	1.106158908
2	69	0	0.630874	0.738	0.845357	1.125836	1.185095	1.391459	1.173729	0.796789	12392	5.3	0.74	2	1583500	156.32	13.67585	155.85	0.337025444	0.730657372	1.049053952
2	70	0	0.628342	0.734	1.011379	1.180592	1.27024	1.659058	1.405537	0.796158	11283	7.6	0.74	2	1586610	196.88	11.85286	72.7	0.351986053	0.661737774	1.225913117
2	71	0	0.598227	0.719	1.159069	1.051663	1.120197	1.828675	1.540773	0.777119	12327	6.5	0.725	2	1591400	149.21	7.79146	59.09	0.324920431	0.635939707	1.276611878
2	72	0	0.583257	0.72	1.779306	1.852904	1.717545	2.756376	2.362648	0.770213	9916	-7.3	0.725	2	1594950	899.82	37.38218	6.12	0.460015526	0.46828072	1.696369208
2	73	0	0.646904	0.728	1.50891	1.494472	1.368715	2.53942	2.103747	0.806135	12469	-8.4	0.736	2	1596500	663.42	53.96684	124.65	0.463635893	0.441481526	1.855214393
2	74	0	0.558714	0.658	1.506797	0.989099	1.107547	2.268362	1.81038	0.750786	12435	12	0.675	2	1605500	856.86	70.44106	463.85	0.314546729	0.54443486	1.905030096
2	75	0	0.708605	0.807	1.150712	1.153188	1.238077	2.131781	1.944393	0.845366	12491	7.4	0.818	2	1606500	836.38	75.86214	1684.55	0.359817236	0.518890696	2.073786314
