Set	Nr	Normalized?	NSE	KGE	RMSE	mean_Yo	mean_Yp	sd_Yo	sd_Yp	r	N	Bias	KGE*	SetGroup
10	8	1	0.705884	-0.022000	0.540235	-0.000183	-0.000001	1.000323	0.840190	0.840169	120	0.000000	0.774000	5.000000
10	9	1	0.753662	-0.016000	0.494180	-0.000260	-0.000000	0.999853	0.868225	0.868137	120	0.000000	0.814000	5.000000
10	10	1	0.799646	-0.000000	0.445738	0.000117	0.000001	0.999994	0.894239	0.894229	120	-0.000000	0.850000	5.000000
10	11	1	0.815147	-0.041000	0.428383	0.000055	-0.000002	1.000545	0.902880	0.902855	120	-0.000000	0.862000	5.000000
10	12	1	0.862534	-0.001000	0.369313	0.000297	0.000001	1.000263	0.928774	0.928727	120	-0.000000	0.899000	5.000000
10	13	1	0.837285	-0.036000	0.401613	-0.000112	0.000003	0.999796	0.915136	0.915033	120	0.000000	0.880000	5.000000
10	14	1	0.852301	-0.002000	0.382841	0.000408	0.000002	1.000337	0.923285	0.923201	120	-0.000000	0.891000	5.000000
10	15	1	0.836671	-0.010000	0.402604	-0.000173	0.000000	1.000376	0.914663	0.914697	120	0.000000	0.879000	5.000000
10	16	1	0.838908	-0.012000	0.399772	-0.000127	0.000001	1.000211	0.915989	0.915919	120	0.000000	0.881000	5.000000
10	17	1	0.830674	-0.006000	0.409709	0.000057	0.000000	0.999841	0.911438	0.911413	120	-0.000000	0.875000	5.000000
10	18	1	0.837503	-0.047000	0.401228	-0.000046	0.000002	0.999505	0.915320	0.915152	120	0.000000	0.880000	5.000000
10	19	1	0.850888	-0.010000	0.384422	0.000127	-0.000001	0.999697	0.922455	0.922436	120	-0.000000	0.891000	5.000000
10	20	1	0.855925	-0.011000	0.378255	-0.000257	0.000001	1.000708	0.925064	0.925163	120	0.000000	0.894000	5.000000
10	21	1	0.851980	-0.007000	0.383136	0.000166	-0.000000	1.000021	0.922986	0.923028	120	-0.000000	0.891000	5.000000
10	22	1	0.852042	0.144000	0.382993	0.000006	0.000001	0.999858	0.922935	0.923061	120	-0.000000	0.891000	5.000000
10	23	1	0.852648	-0.077000	0.382130	0.000034	-0.000002	0.999655	0.923371	0.923389	120	-0.000000	0.892000	5.000000
10	24	1	0.841460	-0.016000	0.396574	0.000063	-0.000001	1.000166	0.917527	0.917311	120	-0.000000	0.883000	5.000000
10	25	1	0.815623	-0.000000	0.427627	-0.000161	-0.000002	1.000066	0.903110	0.903118	120	0.000000	0.863000	5.000000
10	26	1	0.778189	-0.006000	0.468974	0.000222	0.000002	0.999943	0.882220	0.882150	120	-0.000000	0.833000	5.000000
10	27	1	0.797091	-0.011000	0.448570	-0.000037	-0.000000	0.999994	0.892828	0.892800	120	0.000000	0.848000	5.000000
10	28	1	0.800805	0.007000	0.444642	-0.000102	-0.000002	1.000433	0.894705	0.894877	120	0.000000	0.851000	5.000000
10	29	1	0.806389	-0.006000	0.438161	0.000115	0.000000	0.999967	0.897910	0.897992	120	-0.000000	0.856000	5.000000
10	30	1	0.805590	-0.009000	0.439281	-0.000140	-0.000000	1.000461	0.897484	0.897547	120	0.000000	0.855000	5.000000
10	31	1	0.833597	-0.011000	0.406210	0.000388	-0.000001	0.999972	0.913081	0.913016	120	-0.000000	0.877000	5.000000
10	32	1	0.853207	0.007000	0.381623	-0.000164	-0.000002	1.000226	0.923647	0.923692	120	0.000000	0.892000	5.000000
10	33	1	0.847003	-0.012000	0.389460	-0.000170	0.000001	0.999859	0.920251	0.920328	120	0.000000	0.887000	5.000000
10	34	1	0.837321	-0.024000	0.401634	-0.000085	0.000001	0.999956	0.915024	0.915052	120	0.000000	0.880000	5.000000
10	35	1	0.850155	-0.108000	0.385555	-0.000034	0.000003	1.000188	0.922117	0.922038	120	0.000000	0.890000	5.000000
10	36	1	0.860445	-0.016000	0.372082	0.000095	-0.000001	1.000192	0.927530	0.927602	120	-0.000000	0.897000	5.000000
10	37	1	0.866893	0.062000	0.363310	0.000003	0.000000	0.999986	0.930951	0.931071	120	-0.000000	0.902000	5.000000
10	38	1	0.853756	0.153000	0.380644	-0.000001	-0.000000	0.999531	0.924081	0.923989	120	0.000000	0.893000	5.000000
10	39	1	0.813230	0.002000	0.430321	0.000059	0.000001	0.999899	0.901860	0.901793	120	-0.000000	0.861000	5.000000
10	40	1	0.824802	-0.012000	0.416781	0.000076	-0.000000	0.999909	0.908093	0.908186	120	-0.000000	0.870000	5.000000
10	41	1	0.828088	0.003000	0.412893	0.000119	0.000001	1.000001	0.909887	0.909993	120	-0.000000	0.873000	5.000000
10	42	1	0.818438	0.007000	0.424325	0.000100	0.000002	1.000008	0.904678	0.904675	120	-0.000000	0.865000	5.000000
10	43	1	0.727195	-0.082000	0.520255	0.000027	-0.000002	1.000246	0.852794	0.852757	120	-0.000000	0.792000	5.000000
10	44	1	0.837038	0.007000	0.401887	-0.000032	-0.000000	0.999718	0.914925	0.914898	120	0.000000	0.880000	5.000000
10	45	1	0.834761	0.006000	0.404758	-0.000095	-0.000001	0.999899	0.913715	0.913653	120	0.000000	0.878000	5.000000
10	46	1	0.842306	-0.008000	0.395379	0.000207	-0.000000	0.999824	0.917733	0.917772	120	-0.000000	0.884000	5.000000
10	47	1	0.837946	-0.007000	0.400805	-0.000530	0.000000	0.999818	0.915193	0.915394	120	0.000000	0.880000	5.000000
10	48	1	0.838869	-0.000000	0.399694	0.000192	0.000001	0.999896	0.915902	0.915898	120	-0.000000	0.881000	5.000000
11	1	1	0.898739	0.002000	0.316894	0.000384	0.000002	1.000023	0.947946	0.948019	120	-0.000000	0.926000	5.000000
11	2	1	0.889330	-0.008000	0.331237	0.000096	-0.000000	0.999862	0.943087	0.943043	120	-0.000000	0.920000	5.000000
11	3	1	0.901640	0.045000	0.312387	-0.000022	-0.000001	1.000229	0.949503	0.949547	120	0.000000	0.928000	5.000000
11	4	1	0.864673	0.010000	0.366329	-0.000102	-0.000001	0.999993	0.929808	0.929878	120	0.000000	0.901000	5.000000
11	5	1	0.890428	-0.005000	0.329631	-0.000119	0.000000	0.999987	0.943561	0.943625	120	0.000000	0.920000	5.000000
11	6	1	0.826525	-0.003000	0.414766	-0.000072	-0.000000	1.000006	0.909242	0.909134	120	0.000000	0.872000	5.000000
11	7	1	0.818609	-0.016000	0.423985	0.000156	-0.000001	0.999677	0.904731	0.904770	120	-0.000000	0.866000	5.000000
11	8	1	0.815430	-0.007000	0.427961	-0.000183	-0.000000	1.000323	0.903110	0.903012	120	0.000000	0.863000	5.000000
11	9	1	0.849811	-0.015000	0.385867	-0.000260	0.000002	0.999853	0.921954	0.921852	120	0.000000	0.890000	5.000000
11	10	1	0.858429	-0.001000	0.374686	0.000117	0.000001	0.999994	0.926517	0.926514	120	-0.000000	0.896000	5.000000
11	11	1	0.878312	-0.051000	0.347570	0.000055	-0.000003	1.000545	0.937187	0.937183	120	-0.000000	0.911000	5.000000
11	12	1	0.911630	-0.000000	0.296107	0.000297	0.000001	1.000263	0.954817	0.954793	120	-0.000000	0.936000	5.000000
11	13	1	0.894583	-0.005000	0.323258	-0.000112	0.000000	0.999796	0.945936	0.945824	120	0.000000	0.924000	5.000000
11	14	1	0.918941	-0.002000	0.283615	0.000408	0.000000	1.000337	0.958646	0.958614	120	-0.000000	0.941000	5.000000
11	15	1	0.911199	-0.003000	0.296862	-0.000173	0.000000	1.000376	0.954532	0.954567	120	0.000000	0.935000	5.000000
11	16	1	0.913503	-0.000000	0.292938	-0.000127	-0.000000	1.000211	0.955856	0.955773	120	0.000000	0.937000	5.000000
11	17	1	0.911941	-0.043000	0.295462	0.000057	-0.000002	0.999841	0.955000	0.954956	120	-0.000000	0.936000	5.000000
11	18	1	0.911291	0.032000	0.296450	-0.000046	-0.000002	0.999505	0.954687	0.954616	120	0.000000	0.936000	5.000000
11	19	1	0.911219	0.000000	0.296627	0.000127	0.000000	0.999697	0.954621	0.954578	120	-0.000000	0.936000	5.000000
11	20	1	0.899420	0.007000	0.316042	-0.000257	-0.000003	1.000708	0.948312	0.948378	120	0.000000	0.926000	5.000000
11	21	1	0.896681	-0.009000	0.320098	0.000166	-0.000001	1.000021	0.946877	0.946932	120	-0.000000	0.925000	5.000000
11	22	1	0.903730	0.050000	0.308934	0.000006	0.000000	0.999858	0.950584	0.950647	120	-0.000000	0.930000	5.000000
11	23	1	0.910011	-0.049000	0.298625	0.000034	-0.000002	0.999655	0.953942	0.953945	120	-0.000000	0.935000	5.000000
11	24	1	0.894783	-0.035000	0.323071	0.000063	-0.000002	1.000166	0.946093	0.945930	120	-0.000000	0.924000	5.000000
11	25	1	0.871921	-0.008000	0.356411	-0.000161	0.000001	1.000066	0.933781	0.933767	120	0.000000	0.906000	5.000000
