Dataset,NSE,KGE,KGE*,RMSE,mean_Yo,mean_Yp,sd_Yo,sd_Yp,rho,N,Normalized?
5,0.811198,-0.01,0.86,0.432772,0.000063,0,1.000166,0.900866,0.900665,120,1
5,0.803077,0.469,0.856,0.44055,-0.011171,-0.005463,0.996964,0.897445,0.896173,119,1
5,0.770314,-0.016,0.827,0.477228,0.000222,0,0.999943,0.877759,0.877675,120,1
5,0.536136,-0.089,0.621,0.678228,-0.000037,0.000001,0.999994,0.732184,0.732213,120,1
5,0.647248,-0.035,0.723,0.591706,-0.000102,0,1.000433,0.804218,0.804518,120,1
5,0.680065,-0.025,0.752,0.563248,0.000115,0.000001,0.999967,0.824393,0.82466,120,1
5,0.686739,-0.029,0.757,0.557617,-0.00014,0,1.000461,0.828647,0.828697,120,1
5,0.712632,0.603,0.781,0.533939,-0.00771,-0.005156,1.000241,0.846659,0.844182,119,1
5,0.731057,-0.02,0.795,0.516549,-0.000164,0,1.000226,0.854953,0.855019,120,1
5,0.711394,-0.022,0.779,0.534902,-0.00017,0,0.999859,0.843305,0.843442,120,1
5,0.574364,0.309,0.661,0.647016,-0.011767,-0.004674,0.995928,0.76008,0.75792,119,1
5,0.717703,-0.033,0.784,0.529198,-0.000034,0,1.000188,0.847286,0.847173,120,1
5,0.766325,-0.006,0.824,0.481473,0.000095,0.000001,1.000192,0.875268,0.8754,120,1
5,0.773529,0.352,0.83,0.473896,0.000003,0.000001,0.999986,0.879409,0.879505,120,1
5,0.789374,0.086,0.843,0.45681,-0.000001,0,0.999531,0.888575,0.888467,120,1
5,0.79462,0.555,0.849,0.450728,-0.009352,-0.00544,0.998775,0.893415,0.891429,119,1
5,0.801186,-0.022,0.852,0.443984,0.000076,-0.000001,0.999909,0.895003,0.89509,120,1
5,0.797606,0.62,0.85,0.447895,-0.008451,-0.005503,0.999794,0.895149,0.893096,119,1
5,0.794996,-0.021,0.847,0.450887,0.0001,-0.000001,1.000008,0.891653,0.891625,120,1
5,0.719959,0.623,0.788,0.52781,-0.015312,-0.010543,1.001648,0.853321,0.848524,118,1
5,0.62267,-0.054,0.702,0.611535,-0.000032,0,0.999718,0.789071,0.789094,120,1
5,0.650052,0.462,0.733,0.586869,-0.028363,-0.015111,0.99633,0.813343,0.80643,117,1
5,0.660559,0.447,0.74,0.577942,-0.01979,-0.010115,0.996208,0.81727,0.812841,118,1
5,0.698096,-0.029,0.767,0.547064,-0.00053,0.000001,0.999818,0.83518,0.835522,120,1
5,0.727192,0.526,0.794,0.519523,-0.009134,-0.005239,0.998869,0.854953,0.85277,119,1
5,0.795994,-0.014,0.848,0.449794,0.000384,-0.000001,1.000023,0.892185,0.892185,120,1
5,0.843808,0.014,0.885,0.393506,0.000096,0.000002,0.999862,0.918654,0.918591,120,1
5,0.856652,-0.042,0.895,0.377118,-0.000022,0.000001,1.000229,0.925517,0.925555,120,1
5,0.780828,-0.023,0.835,0.4662,-0.000102,0.000001,0.999993,0.883598,0.883645,120,1
5,0.829282,-0.015,0.874,0.41145,-0.000119,0.000001,0.999987,0.910607,0.910649,120,1
5,0.724849,-0.021,0.79,0.522362,-0.000072,0,1.000006,0.85148,0.851381,120,1
5,0.703007,-0.022,0.772,0.54252,0.000156,0.000001,0.999677,0.838447,0.838455,120,1
5,0.705884,-0.022,0.774,0.540235,-0.000183,-0.000001,1.000323,0.84019,0.840169,120,1
5,0.753662,-0.016,0.814,0.49418,-0.00026,0,0.999853,0.868225,0.868137,120,1
5,0.799646,0,0.85,0.445738,0.000117,0.000001,0.999994,0.894239,0.894229,120,1
5,0.815147,-0.041,0.862,0.428383,0.000055,-0.000002,1.000545,0.90288,0.902855,120,1
5,0.862534,-0.001,0.899,0.369313,0.000297,0.000001,1.000263,0.928774,0.928727,120,1
5,0.837285,-0.036,0.88,0.401613,-0.000112,0.000003,0.999796,0.915136,0.915033,120,1
5,0.852301,-0.002,0.891,0.382841,0.000408,0.000002,1.000337,0.923285,0.923201,120,1
5,0.836671,-0.01,0.879,0.402604,-0.000173,0,1.000376,0.914663,0.914697,120,1
5,0.838908,-0.012,0.881,0.399772,-0.000127,0.000001,1.000211,0.915989,0.915919,120,1
5,0.830674,-0.006,0.875,0.409709,0.000057,0,0.999841,0.911438,0.911413,120,1
5,0.837503,-0.047,0.88,0.401228,-0.000046,0.000002,0.999505,0.91532,0.915152,120,1
5,0.850888,-0.01,0.891,0.384422,0.000127,-0.000001,0.999697,0.922455,0.922436,120,1
5,0.855925,-0.011,0.894,0.378255,-0.000257,0.000001,1.000708,0.925064,0.925163,120,1
5,0.85198,-0.007,0.891,0.383136,0.000166,0,1.000021,0.922986,0.923028,120,1
5,0.852042,0.144,0.891,0.382993,0.000006,0.000001,0.999858,0.922935,0.923061,120,1
5,0.852648,-0.077,0.892,0.38213,0.000034,-0.000002,0.999655,0.923371,0.923389,120,1
5,0.84146,-0.016,0.883,0.396574,0.000063,-0.000001,1.000166,0.917527,0.917311,120,1
5,0.815623,0,0.863,0.427627,-0.000161,-0.000002,1.000066,0.90311,0.903118,120,1
5,0.778189,-0.006,0.833,0.468974,0.000222,0.000002,0.999943,0.88222,0.88215,120,1
5,0.797091,-0.011,0.848,0.44857,-0.000037,0,0.999994,0.892828,0.8928,120,1
5,0.800805,0.007,0.851,0.444642,-0.000102,-0.000002,1.000433,0.894705,0.894877,120,1
5,0.806389,-0.006,0.856,0.438161,0.000115,0,0.999967,0.89791,0.897992,120,1
5,0.80559,-0.009,0.855,0.439281,-0.00014,0,1.000461,0.897484,0.897547,120,1
5,0.833597,-0.011,0.877,0.40621,0.000388,-0.000001,0.999972,0.913081,0.913016,120,1
5,0.853207,0.007,0.892,0.381623,-0.000164,-0.000002,1.000226,0.923647,0.923692,120,1
5,0.847003,-0.012,0.887,0.38946,-0.00017,0.000001,0.999859,0.920251,0.920328,120,1
5,0.837321,-0.024,0.88,0.401634,-0.000085,0.000001,0.999956,0.915024,0.915052,120,1
5,0.850155,-0.108,0.89,0.385555,-0.000034,0.000003,1.000188,0.922117,0.922038,120,1
5,0.860445,-0.016,0.897,0.372082,0.000095,-0.000001,1.000192,0.92753,0.927602,120,1
5,0.866893,0.062,0.902,0.36331,0.000003,0,0.999986,0.930951,0.931071,120,1
5,0.853756,0.153,0.893,0.380644,-0.000001,0,0.999531,0.924081,0.923989,120,1
5,0.81323,0.002,0.861,0.430321,0.000059,0.000001,0.999899,0.90186,0.901793,120,1
5,0.824802,-0.012,0.87,0.416781,0.000076,0,0.999909,0.908093,0.908186,120,1
5,0.828088,0.003,0.873,0.412893,0.000119,0.000001,1.000001,0.909887,0.909993,120,1
5,0.818438,0.007,0.865,0.424325,0.0001,0.000002,1.000008,0.904678,0.904675,120,1
5,0.727195,-0.082,0.792,0.520255,0.000027,-0.000002,1.000246,0.852794,0.852757,120,1
5,0.837038,0.007,0.88,0.401887,-0.000032,0,0.999718,0.914925,0.914898,120,1
5,0.834761,0.006,0.878,0.404758,-0.000095,-0.000001,0.999899,0.913715,0.913653,120,1
5,0.842306,-0.008,0.884,0.395379,0.000207,0,0.999824,0.917733,0.917772,120,1
5,0.837946,-0.007,0.88,0.400805,-0.00053,0,0.999818,0.915193,0.915394,120,1
5,0.838869,0,0.881,0.399694,0.000192,0.000001,0.999896,0.915902,0.915898,120,1
5,0.898739,0.002,0.926,0.316894,0.000384,0.000002,1.000023,0.947946,0.948019,120,1
5,0.88933,-0.008,0.92,0.331237,0.000096,0,0.999862,0.943087,0.943043,120,1
5,0.90164,0.045,0.928,0.312387,-0.000022,-0.000001,1.000229,0.949503,0.949547,120,1
5,0.864673,0.01,0.901,0.366329,-0.000102,-0.000001,0.999993,0.929808,0.929878,120,1
5,0.890428,-0.005,0.92,0.329631,-0.000119,0,0.999987,0.943561,0.943625,120,1
5,0.826525,-0.003,0.872,0.414766,-0.000072,0,1.000006,0.909242,0.909134,120,1
5,0.818609,-0.016,0.866,0.423985,0.000156,-0.000001,0.999677,0.904731,0.90477,120,1
5,0.81543,-0.007,0.863,0.427961,-0.000183,0,1.000323,0.90311,0.903012,120,1
5,0.849811,-0.015,0.89,0.385867,-0.00026,0.000002,0.999853,0.921954,0.921852,120,1
5,0.858429,-0.001,0.896,0.374686,0.000117,0.000001,0.999994,0.926517,0.926514,120,1
5,0.878312,-0.051,0.911,0.34757,0.000055,-0.000003,1.000545,0.937187,0.937183,120,1
5,0.91163,0,0.936,0.296107,0.000297,0.000001,1.000263,0.954817,0.954793,120,1
5,0.894583,-0.005,0.924,0.323258,-0.000112,0,0.999796,0.945936,0.945824,120,1
5,0.918941,-0.002,0.941,0.283615,0.000408,0,1.000337,0.958646,0.958614,120,1
5,0.911199,-0.003,0.935,0.296862,-0.000173,0,1.000376,0.954532,0.954567,120,1
5,0.913503,0,0.937,0.292938,-0.000127,0,1.000211,0.955856,0.955773,120,1
5,0.911941,-0.043,0.936,0.295462,0.000057,-0.000002,0.999841,0.955,0.954956,120,1
5,0.911291,0.032,0.936,0.29645,-0.000046,-0.000002,0.999505,0.954687,0.954616,120,1
5,0.911219,0,0.936,0.296627,0.000127,0,0.999697,0.954621,0.954578,120,1
5,0.89942,0.007,0.926,0.316042,-0.000257,-0.000003,1.000708,0.948312,0.948378,120,1
5,0.896681,-0.009,0.925,0.320098,0.000166,-0.000001,1.000021,0.946877,0.946932,120,1
5,0.90373,0.05,0.93,0.308934,0.000006,0,0.999858,0.950584,0.950647,120,1
5,0.910011,-0.049,0.935,0.298625,0.000034,-0.000002,0.999655,0.953942,0.953945,120,1
5,0.894783,-0.035,0.924,0.323071,0.000063,-0.000002,1.000166,0.946093,0.94593,120,1
5,0.871921,-0.008,0.906,0.356411,-0.000161,0.000001,1.000066,0.933781,0.933767,120,1
5,0.851112,-0.005,0.891,0.384227,0.000222,0,0.999943,0.922578,0.922557,120,1
5,0.89738,0.021,0.926,0.319004,-0.000037,-0.000001,0.999994,0.947383,0.947302,120,1
5,0.901394,0.008,0.928,0.31284,-0.000102,-0.000001,1.000433,0.949322,0.949418,120,1
5,0.884932,0.017,0.916,0.33779,0.000115,0.000002,0.999967,0.940627,0.940708,120,1
5,0.887869,-0.01,0.918,0.333615,-0.00014,0.000001,1.000461,0.942236,0.942268,120,1
5,0.905303,0.001,0.931,0.306436,0.000388,0.000001,0.999972,0.951548,0.951474,120,1
5,0.914619,-0.009,0.938,0.291046,-0.000164,0.000001,1.000226,0.956356,0.956357,120,1
5,0.906238,0.009,0.932,0.304884,-0.00017,-0.000002,0.999859,0.951951,0.951965,120,1
5,0.882775,-0.002,0.915,0.340937,-0.000085,0,0.999956,0.939587,0.939561,120,1
5,0.899202,0.049,0.927,0.31622,-0.000034,-0.000002,1.000188,0.948308,0.948263,120,1
